year,districtid,enrollment,pctfemale,pctblack,pcthispanic,pcttwomoreraces,pctwhite,pctesl,pcthighlycapable,pctfrpl,pctsection504,pctdisabilities,districtnumber,nces_lea
2024,1147,4721,0.48591400127091716,0.0025418343571277273,0.9091294217326837,0.005295488244016098,0.07816140648167762,0.4238508790510485,0.021393772505825037,0.8305443761914848,0.03770387629739462,0.12899809362423215,100192,5306480
2025,1147,4711,0.4875822542984504,0.0027594990447887924,0.9127573763532159,0.005518998089577585,0.07578008915304606,0.4563786881766079,0.022925068987476118,0.8316705582678837,0.041604754829123326,0.12226703459987263,100192,5306480
2015,1158,208,0.5048076923076923,0.004807692307692308,0.2932692307692308,0.019230769230769232,0.6586538461538461,0.11057692307692307,0,0.6153846153846154,0.019230769230769232,0.125,100131,5304410
2016,1158,216,0.5138888888888888,0.004629629629629629,0.2824074074074074,0.023148148148148147,0.6666666666666666,0.125,0,0.6111111111111112,0.018518518518518517,0.12037037037037036,100131,5304410
2017,1158,235,0.48936170212765956,0,0.3276595744680851,0.01276595744680851,0.6382978723404256,0.1574468085106383,0,0.7021276595744681,0.00851063829787234,0.12340425531914893,100131,5304410
2018,1158,218,0.5137614678899083,0.009174311926605505,0.3440366972477064,0.027522935779816515,0.6009174311926605,0.11926605504587157,0,0.6972477064220184,0.013761467889908258,0.13761467889908258,100131,5304410
2019,1158,226,0.4823008849557522,0.008849557522123894,0.37610619469026546,0.02654867256637168,0.5752212389380531,0.13274336283185842,0,0.7345132743362832,0.022123893805309734,0.1504424778761062,100131,5304410
2020,1158,212,0.4858490566037736,0.0047169811320754715,0.3584905660377358,0.0047169811320754715,0.6226415094339622,0.12735849056603774,0,0.7122641509433962,0.02358490566037736,0.1509433962264151,100131,5304410
2021,1158,205,0.4878048780487805,0.004878048780487805,0.34146341463414637,0,0.6487804878048781,0.12195121951219512,0,0.7268292682926829,0.01951219512195122,0.11707317073170732,100131,5304410
2022,1158,201,0.4975124378109453,0.009950248756218905,0.3681592039800995,0.024875621890547265,0.5920398009950248,0.14427860696517414,0,0.7213930348258707,0.014925373134328358,0.1044776119402985,100131,5304410
2023,1158,219,0.4748858447488584,0.0091324200913242,0.3789954337899543,0.0273972602739726,0.5753424657534246,0.1506849315068493,0.0045662100456621,0.7625570776255708,0.0182648401826484,0.1187214611872146,100131,5304410
