year,districtid,meantotalsalary,meancertbasesalary,meanexperience,districtfte,districtccddd,districtnumber,nces_lea,name,meantotalsalary_cpi_adjusted,meancertbasesalary_cpi_adjusted
2015,1109,35633.69,24552.31,7.282759,12.5,1109,100287,5309570,WASHTUCNA SCHOOL DISTRICT,35633.69,24552.31
2016,1109,43800.42,31384.25,9.2,13.5,1109,100287,5309570,WASHTUCNA SCHOOL DISTRICT,43252.25794862964,30991.476258087925
2017,1109,41551.12,29975.32,9.3920001,12.524,1109,100287,5309570,WASHTUCNA SCHOOL DISTRICT,40174.804094549225,28982.434376532405
2018,1109,44956.292,32364.625,10.0625,12.5,1109,100287,5309570,WASHTUCNA SCHOOL DISTRICT,42432.262419921186,30547.542958443766
2019,1109,51534.952,37071.429,9.6333332,11,1109,100287,5309570,WASHTUCNA SCHOOL DISTRICT,47775.28022957979,34366.92652757241
2021,1109,51050.958,37952.042,6.5041667,12.423,1109,100287,5309570,WASHTUCNA SCHOOL DISTRICT,44650.750372535935,33194.0323915175
2022,1109,52236.917,37730.083,7.6708334,11.42,1109,100287,5309570,WASHTUCNA SCHOOL DISTRICT,42307.32441940535,30558.06034364721
2023,1109,79402.76923076923,75647.46153846153,15.246153758122372,,1109,100287,5309570,WASHTUCNA SCHOOL DISTRICT,61760.45284273033,58839.52822149133
2024,1109,86085.08333333333,80347.66666666667,16.79166654745738,,1109,100287,5309570,WASHTUCNA SCHOOL DISTRICT,65038.044741189646,60703.37551143908
2025,1109,89854.23076923077,84352.53846153847,16.492307692307694,,1109,100287,5309570,WASHTUCNA SCHOOL DISTRICT,66143.25898781558,62093.36777998193
2015,1122,22423.14,14255.29,8.685714,2.25,1122,100021,5300450,BENGE SCHOOL DISTRICT,22423.140000000003,14255.29
2016,1122,23135,15335.14,2.685714,2.25,1122,100021,5300450,BENGE SCHOOL DISTRICT,22845.465583242047,15143.220794648732
2017,1122,28183.429,20246.286,6.5285715,2.25,1122,100021,5300450,BENGE SCHOOL DISTRICT,27249.896965175365,19575.659421267457
2018,1122,34073.667,21584.667,7.9500001,2,1122,100021,5300450,BENGE SCHOOL DISTRICT,32160.63237050353,20372.815764934818
2019,1122,40761.8,31167.2,9.9400002,2.125,1122,100021,5300450,BENGE SCHOOL DISTRICT,37788.0708545549,28893.43360543655
2021,1122,48638,29004,4.55,2,1122,100021,5300450,BENGE SCHOOL DISTRICT,42540.3025075338,25367.797481979323
2022,1122,45280,30175.75,4.55,2,1122,100021,5300450,BENGE SCHOOL DISTRICT,36672.831394522655,24439.712719815965
2023,1122,72640.5,66690,8.5,,1122,100021,5300450,BENGE SCHOOL DISTRICT,56500.676464869066,51872.304202781066
2024,1122,75213.5,70000,12,,1122,100021,5300450,BENGE SCHOOL DISTRICT,56824.46701247856,52885.621475845415
2025,1122,79328,73490.5,13,,1122,100021,5300450,BENGE SCHOOL DISTRICT,58394.71780089175,54097.63272169266
2015,1147,42865.14,27105.66,5.98083,263.137,1147,100192,5306480,OTHELLO SCHOOL DISTRICT,42865.14,27105.66
2016,1147,44773.39,27572.61,6.091569,260.04,1147,100192,5306480,OTHELLO SCHOOL DISTRICT,44213.051233631886,27227.538914854358
2017,1147,49368.325,29391.54,6.1148289,276.355,1147,100192,5306480,OTHELLO SCHOOL DISTRICT,47733.0763972436,28417.991176582178
2018,1147,50778.646,28855.134,5.5488536,290.54,1147,100192,5306480,OTHELLO SCHOOL DISTRICT,47927.725720801915,27235.08909609338
2019,1147,56781.677,34203.094,5.2909864,292.128,1147,100192,5306480,OTHELLO SCHOOL DISTRICT,52639.2365822032,31707.84753168411
2021,1147,62399.142,38367.482,5.6869205,309.4,1147,100192,5306480,OTHELLO SCHOOL DISTRICT,54576.22387619881,33557.38909355562
2022,1147,65272.01,39987.273,5.7925566,318.622,1147,100192,5306480,OTHELLO SCHOOL DISTRICT,52864.607277199575,32386.18641024179
2023,1147,96032.66564417178,82847.32208588957,11.32914112583717,,1147,100192,5306480,OTHELLO SCHOOL DISTRICT,74695.391298522125,64439.668520393556
2024,1147,103191.56697819315,86808.42367601246,11.531152672810347,,1147,100192,5306480,OTHELLO SCHOOL DISTRICT,77962.14501011532,65584.53479206303
2025,1147,100816.28125,91663.925,11.794062499999995,,1147,100192,5306480,OTHELLO SCHOOL DISTRICT,74212.61462950136,67475.40632433827
2015,1158,38830.05,22417.29,5.690244,17.777,1158,100131,5304410,LIND SCHOOL DISTRICT,38830.05,22417.29
2016,1158,42752.9,24743.88,6.539024,18.5,1158,100131,5304410,LIND SCHOOL DISTRICT,42217.84765652859,24434.210457569538
2017,1158,38474.39,23640.293,4.8682927,18.1,1158,100131,5304410,LIND SCHOOL DISTRICT,37199.985966859225,22857.24524423754
2018,1158,39077.698,21731.698,5.0372093,17.637,1158,100131,5304410,LIND SCHOOL DISTRICT,36883.716662006496,20511.5918449519
2019,1158,44157.84,24961.46,5.4059999,19,1158,100131,5304410,LIND SCHOOL DISTRICT,40936.35675323706,23140.42606345004
2021,1158,48049.898,29915.898,5.6938775,19.602,1158,100131,5304410,LIND SCHOOL DISTRICT,42025.93026802384,26165.371740296177
2022,1158,49689.404,28480.351,5.0122806,20.618,1158,100131,5304410,LIND SCHOOL DISTRICT,40244.062168425786,23066.58812455443
2023,1158,88085.86363636363,81077.36363636363,12.86818170005625,,1158,100131,5304410,LIND SCHOOL DISTRICT,68514.27072289916,63062.973017018354
2024,1158,85882.5,81466.09090909091,10.822727211497046,,1158,100131,5304410,LIND SCHOOL DISTRICT,64884.99123427563,61548.354956214185
2025,1158,92139.95454545454,83616.09090909091,11.704545454545455,,1158,100131,5304410,LIND SCHOOL DISTRICT,67825.81993582103,61551.25595313223
2015,1160,44094.45,27504.88,7.62549,23.3,1160,100220,5307380,RITZVILLE SCHOOL DISTRICT,44094.45,27504.88
2016,1160,44189.25,25197.46,6.803279,26.044,1160,100220,5307380,RITZVILLE SCHOOL DISTRICT,43636.22174299887,24882.113905991708
2017,1160,41722.132,24104.382,5.6382353,26.333,1160,100220,5307380,RITZVILLE SCHOOL DISTRICT,40340.15158934159,23305.96202148531
2018,1160,46948.033,28503.508,6.4,28,1160,100220,5307380,RITZVILLE SCHOOL DISTRICT,44312.17895717734,26903.204813784974
2019,1160,55309.113,34476.774,6.5358491,27.5,1160,100220,5307380,RITZVILLE SCHOOL DISTRICT,51274.10175572677,31961.56152938477
2021,1160,59229.431,40840.059,7.4607843,27,1160,100220,5307380,RITZVILLE SCHOOL DISTRICT,51803.89637915005,35719.98158406038
2022,1160,66653.043,46872.745,8.5191489,27.51,1160,100220,5307380,RITZVILLE SCHOOL DISTRICT,53983.12296534604,37962.81524698443
2023,1160,86932.55172413793,81047.41379310345,13.389655130690542,,1160,100220,5307380,RITZVILLE SCHOOL DISTRICT,67617.2104987027,63039.67765968715
2024,1160,86549.53333333334,80645.23333333334,12.959999971588452,,1160,100220,5307380,RITZVILLE SCHOOL DISTRICT,65388.94083968188,60928.18976996996
2025,1160,90791.36666666667,83686.93333333333,12.686666666666664,,1160,100220,5307380,RITZVILLE SCHOOL DISTRICT,66833.10098902392,61603.40429132262
2015,2250,44014.39,26701.82,8.396257,170.956,2250,100045,5301320,CLARKSTON SCHOOL DISTRICT,44014.39,26701.82
2016,2250,45136.22,27181.08,8.046053,174.027,2250,100045,5301320,CLARKSTON SCHOOL DISTRICT,44571.340417879466,26840.908910972503
2017,2250,46257.801,27484.583,7.8108808,174.773,2250,100045,5301320,CLARKSTON SCHOOL DISTRICT,44725.58364298347,26574.199146626564
2018,2250,48249.332,28172.395,7.7094388,180.166,2250,100045,5301320,CLARKSTON SCHOOL DISTRICT,45540.41772417309,26590.681847997508
2019,2250,54798.657,34725.809,7.6652393,184.62,2250,100045,5301320,CLARKSTON SCHOOL DISTRICT,50800.88547243868,32192.428474055127
2021,2250,61918.287,39357.39,8.5752266,164.934,2250,100045,5301320,CLARKSTON SCHOOL DISTRICT,54155.65318739047,34423.193316069446
2022,2250,56789.751,38740.039,8.1963586,172.434,2250,100045,5301320,CLARKSTON SCHOOL DISTRICT,45994.72092225981,31376.036185164132
2023,2250,97624.432748538,85546.2865497076,16.26842106992041,,2250,100045,5301320,CLARKSTON SCHOOL DISTRICT,75933.48737675972,66538.95635514637
2024,2250,103714.69491525424,90820.91525423729,16.46836158060758,,2250,100045,5301320,CLARKSTON SCHOOL DISTRICT,78357.3728110132,68616.0078032204
2025,2250,106973.20833333333,93939.88690476191,16.208333333333332,,2250,100045,5301320,CLARKSTON SCHOOL DISTRICT,78744.83552945999,69150.78138931094
2015,2420,37956.79,24658.21,6.412245,42.8,2420,100015,5300280,ASOTIN-ANATONE SCHOOL DISTRICT,37956.79,24658.21
2016,2420,36936.06,24622.94,6.233645,44.8,2420,100015,5300280,ASOTIN-ANATONE SCHOOL DISTRICT,36473.805381913255,24314.784021103693
2017,2420,40474.657,25114.537,6.1592593,44.8,2420,100015,5300280,ASOTIN-ANATONE SCHOOL DISTRICT,39133.99724890871,24282.657215986186
2018,2420,40276.517,24645,6.0051724,45.8,2420,100015,5300280,ASOTIN-ANATONE SCHOOL DISTRICT,38015.229074150884,23261.329189225784
2019,2420,43935.055,29757.413,6.7018349,46.194,2420,100015,5300280,ASOTIN-ANATONE SCHOOL DISTRICT,40729.82477071097,27586.495956808903
2021,2420,49156.057,30725.566,6.818868,45.2,2420,100015,5300280,ASOTIN-ANATONE SCHOOL DISTRICT,42993.41121875025,26873.532471631137
2022,2420,48593.321,32081.795,6.7482143,49.2,2420,100015,5300280,ASOTIN-ANATONE SCHOOL DISTRICT,39356.33100558562,25983.44211282332
2023,2420,83441.17021276595,77986.46808510639,16.53829796263512,,2420,100015,5300280,ASOTIN-ANATONE SCHOOL DISTRICT,64901.57091486925,60658.836350444086
2024,2420,91505.10638297872,85366.21276595745,16.71702133150811,,2420,100015,5300280,ASOTIN-ANATONE SCHOOL DISTRICT,69132.92027538827,64494.931645241544
2025,2420,90885.83720930232,83486.67441860466,15.776744186046516,,2420,100015,5300280,ASOTIN-ANATONE SCHOOL DISTRICT,66902.64239530804,61455.99022803231
2015,3017,45345.52,27748.57,7.586546,1046.475,3017,100116,5303930,KENNEWICK SCHOOL DISTRICT,45345.51999999999,27748.57
2016,3017,47656.42,29112.06,7.519777,1091.447,3017,100116,5303930,KENNEWICK SCHOOL DISTRICT,47060.000126670755,28747.722705307002
2017,3017,50417.225,29637.9,7.28836,1188.006,3017,100116,5303930,KENNEWICK SCHOOL DISTRICT,48747.23322417806,28656.19088664374
2018,3017,51395.082,29922.292,7.0083713,1209.198,3017,100116,5303930,KENNEWICK SCHOOL DISTRICT,48509.55248972419,28242.33249373655
2019,3017,55074.012,35312.923,6.7944251,1286.228,3017,100116,5303930,KENNEWICK SCHOOL DISTRICT,51056.152272485684,32736.71026317389
2021,3017,63745.157,43788.386,7.4154223,1294.19,3017,100116,5303930,KENNEWICK SCHOOL DISTRICT,55753.49031971372,38298.67977212587
2022,3017,66894.342,44623.655,7.153336,1300.71,3017,100116,5303930,KENNEWICK SCHOOL DISTRICT,54178.55400648267,36141.24947045821
2023,3017,101634.11692307693,88515.67384615385,13.360615383667442,,3017,100116,5303930,KENNEWICK SCHOOL DISTRICT,79052.26916201628,68848.58240308658
2024,3017,106377.0465648855,92739.90534351145,13.601374048512174,,3017,100116,5303930,KENNEWICK SCHOOL DISTRICT,80368.80311927023,70065.82185289543
2025,3017,111599.17209302326,97576.28837209303,14.048372093023266,,3017,100116,5303930,KENNEWICK SCHOOL DISTRICT,82150.08775193182,71827.59963123749
2015,3050,32816.58,21233.19,17.96667,9.389,3050,100197,5306630,PATERSON SCHOOL DISTRICT,32816.58,21233.19
2016,3050,30586.3,19736.33,16.17857,10.389,3050,100197,5306630,PATERSON SCHOOL DISTRICT,30203.51259860455,19489.329922390643
2017,3050,31761.533,20582.967,13.571429,10.634,3050,100197,5306630,PATERSON SCHOOL DISTRICT,30709.48186276472,19901.188389376064
2018,3050,32995.969,21078.719,13.46875,11.589,3050,100197,5306630,PATERSON SCHOOL DISTRICT,31143.4407314461,19895.27374908453
2019,3050,39015.621,42886.889,16.253846,11.517,3050,100197,5306630,PATERSON SCHOOL DISTRICT,36169.28228837932,39758.12648762889
2021,3050,47663.792,28599.167,4.2833333,10.884,3050,100197,5306630,PATERSON SCHOOL DISTRICT,41688.22999169722,25013.71799094284
2022,3050,52606.6,30096.4,4.592,12.615,3050,100197,5306630,PATERSON SCHOOL DISTRICT,42606.735248213234,24375.4461745166
2023,3050,76386.76923076923,66833.92307692308,9.023076937748836,,3050,100197,5306630,PATERSON SCHOOL DISTRICT,59414.57085929072,51984.24934640011
2024,3050,88877.69230769231,79279.69230769231,12.184615355271559,,3050,100197,5306630,PATERSON SCHOOL DISTRICT,67147.88561473247,59896.51140151584
2025,3050,91458.92307692308,86912.61538461539,12.184615384615386,,3050,100197,5306630,PATERSON SCHOOL DISTRICT,67324.50085027215,63977.88484169597
2015,3052,40950.94,25139.87,8.444811,94.453,3052,100119,5304020,KIONA-BENTON CITY SCHOOL DISTRICT,40950.94,25139.87
2016,3052,46510.06,28919.16,9.32767,101.689,3052,100119,5304020,KIONA-BENTON CITY SCHOOL DISTRICT,45927.986816707264,28557.236847904478
2017,3052,47973.533,29356.81,9.7828571,101.643,3052,100119,5304020,KIONA-BENTON CITY SCHOOL DISTRICT,46384.48470217872,28384.411553549064
2018,3052,50740.657,30857.826,10.444444,102,3052,100119,5304020,KIONA-BENTON CITY SCHOOL DISTRICT,47891.8695781941,29125.34179954759
2019,3052,55217.081,35790.421,10.901914,100.1,3052,100119,5304020,KIONA-BENTON CITY SCHOOL DISTRICT,51188.783841972065,33179.37295856291
2021,3052,61418.522,41964.63,13.091848,94.195,3052,100119,5304020,KIONA-BENTON CITY SCHOOL DISTRICT,53718.54322639952,36703.5662407321
2022,3052,65863.328,42790.745,12.313021,98.239,3052,100119,5304020,KIONA-BENTON CITY SCHOOL DISTRICT,53343.5230306127,34656.753017469375
2023,3052,97086.68316831683,84884.41584158415,15.373267312893773,,3052,100119,5304020,KIONA-BENTON CITY SCHOOL DISTRICT,75515.2191234961,66024.1451583449
2024,3052,101954.36082474227,89693.81443298969,15.212371139335879,,3052,100119,5304020,KIONA-BENTON CITY SCHOOL DISTRICT,77027.42477698688,67764.47312611161
2025,3052,103157.05102040817,91918.8163265306,14.339795918367349,,3052,100119,5304020,KIONA-BENTON CITY SCHOOL DISTRICT,75935.69588933197,67663.03625428292
2015,3053,45217.45,29125.49,10.30152,64.828,3053,100089,5302910,FINLEY SCHOOL DISTRICT,45217.44999999999,29125.49
2016,3053,44554.17,29453.35,9.503008,65.636,3053,100089,5302910,FINLEY SCHOOL DISTRICT,43996.57477090621,29084.741462553797
2017,3053,47757.817,30663.557,9.2061069,65.6,3053,100089,5302910,FINLEY SCHOOL DISTRICT,46175.91395751384,29647.874601624302
2018,3053,48888.956,30259.919,9.1222223,64.261,3053,100089,5302910,FINLEY SCHOOL DISTRICT,46144.13062420674,28561.00373699769
2019,3053,49480.267,33344.021,8.1219178,63.556,3053,100089,5302910,FINLEY SCHOOL DISTRICT,45870.49235554599,30911.447191335184
2021,3053,56098.659,36712.681,8.2940741,61.6,3053,100089,5302910,FINLEY SCHOOL DISTRICT,49065.62613855388,32110.04884252207
2022,3053,53296.682,34614.779,7.0324675,64.6,3053,100089,5302910,FINLEY SCHOOL DISTRICT,43165.64118536861,28034.937147209883
2023,3053,93227.62903225806,85743.96774193548,16.20806449074899,,3053,100089,5302910,FINLEY SCHOOL DISTRICT,72513.59923924597,66692.7152236186
2024,3053,98491.63492063493,89708.63492063493,16.39365073009616,,3053,100089,5302910,FINLEY SCHOOL DISTRICT,74411.30461356939,67775.67013610723
2025,3053,104144.4262295082,95635.62295081967,17.319672131147545,,3053,100089,5302910,FINLEY SCHOOL DISTRICT,76662.51991992639,70399.04212794475
2015,3116,43559.69,28000.26,8.252185,190.217,3116,100205,5306900,PROSSER SCHOOL DISTRICT,43559.69,28000.259999999995
2016,3116,46919.73,29176.79,8.271391,189.347,3116,100205,5306900,PROSSER SCHOOL DISTRICT,46332.529798573996,28811.642609659855
2017,3116,46758.823,28477.331,8.1125,182.777,3116,100205,5306900,PROSSER SCHOOL DISTRICT,45210.01007233265,27534.06392079524
2018,3116,46451.364,27179.221,7.5078624,181.747,3116,100205,5306900,PROSSER SCHOOL DISTRICT,43843.3949804241,25653.268686862182
2019,3116,50732.839,31917.603,7.3002433,184.061,3116,100205,5306900,PROSSER SCHOOL DISTRICT,47031.684439468474,29589.091837739106
2021,3116,57596.535,37292.799,7.9273273,165.277,3116,100205,5306900,PROSSER SCHOOL DISTRICT,50375.71492013978,32617.4380281396
2022,3116,58468.014,36213.479,6.9235616,191.548,3116,100205,5306900,PROSSER SCHOOL DISTRICT,47353.96685942116,29329.744027740435
2023,3116,91435.13529411764,77805.62352941177,14.642352960477856,,3116,100205,5306900,PROSSER SCHOOL DISTRICT,71119.37551055502,60518.17322544171
2024,3116,95555.77900552486,85313.36464088398,13.833701676591325,,3116,100205,5306900,PROSSER SCHOOL DISTRICT,72193.23940451034,64455.00441755092
2025,3116,94913.64673913043,89797.31521739131,13.524456521739127,,3116,100205,5306900,PROSSER SCHOOL DISTRICT,69867.58290622543,66101.36246214814
2015,3400,42240.28,27450.46,7.229069,679.338,3400,100218,5307320,RICHLAND SCHOOL DISTRICT,42240.28,27450.46
2016,3400,44485.27,27311.23,6.659694,742.72,3400,100218,5307320,RICHLAND SCHOOL DISTRICT,43928.53705408385,26969.43008433143
2017,3400,48062.518,28883.647,6.7746224,811.505,3400,100218,5307320,RICHLAND SCHOOL DISTRICT,46470.52221313759,27926.921338368604
2018,3400,51470.732,30306.102,6.9639354,834.11,3400,100218,5307320,RICHLAND SCHOOL DISTRICT,48580.955190197514,28604.593835027546
2019,3400,58326.6,40157.604,7.2159714,871.537,3400,100218,5307320,RICHLAND SCHOOL DISTRICT,54071.45154299569,37227.95326264192
2021,3400,66420.563,44989.558,7.8213429,896.893,3400,100218,5307320,RICHLAND SCHOOL DISTRICT,58093.48334102361,39349.26203791762
2022,3400,66997.773,46538.532,7.5959316,904.378,3400,100218,5307320,RICHLAND SCHOOL DISTRICT,54262.32405118159,37692.13200937714
2023,3400,101664.37590113285,90201.8764160659,13.66879505505277,,3400,100218,5307320,RICHLAND SCHOOL DISTRICT,79075.80496820285,70160.13155069476
2024,3400,105681.57128514056,97655.45983935743,13.98443774154866,,3400,100218,5307320,RICHLAND SCHOOL DISTRICT,79843.36537083596,73779.56691591258
2025,3400,109277.39733059549,101898.43737166324,13.98696098562628,,3400,100218,5307320,RICHLAND SCHOOL DISTRICT,80440.98904719703,75009.20853507105
2015,4019,37617.58,23737.82,5.747414,48.298,4019,100139,5304740,MANSON SCHOOL DISTRICT,37617.58,23737.820000000003
2016,4019,38142.33,23807.11,5.508943,51.231,4019,100139,5304740,MANSON SCHOOL DISTRICT,37664.978918507055,23509.164129736655
2017,4019,41932.836,26084.034,5.6913793,51.855,4019,100139,5304740,MANSON SCHOOL DISTRICT,40543.876348672704,25220.041143188468
2018,4019,45465.478,27802,5.9362832,52.25,4019,100139,5304740,MANSON SCHOOL DISTRICT,42912.86064124581,26241.082333895527
2019,4019,48535.069,29913.267,5.5034483,48.337,4019,100139,5304740,MANSON SCHOOL DISTRICT,44994.25016320945,27730.979811667272
2021,4019,58957.718,36159.32,7.0961165,49.85,4019,100139,5304740,MANSON SCHOOL DISTRICT,51566.24776664071,31626.06215853277
2022,4019,56467.745,33684.173,6.5745454,48.028,4019,100139,5304740,MANSON SCHOOL DISTRICT,45733.92428475927,27281.227850992324
2023,4019,87118.71698113208,77202.1320754717,13.61886787780051,,4019,100139,5304740,MANSON SCHOOL DISTRICT,67762.0121307733,60048.77013228594
2024,4019,89502.77358490566,81799.18867924529,14.081132042239297,,4019,100139,5304740,MANSON SCHOOL DISTRICT,67620.14006928023,61800.01327888322
2025,4019,94508.45098039215,85540.72549019608,13.939215686274506,,4019,100139,5304740,MANSON SCHOOL DISTRICT,69569.31127470011,62968.0128767087
2015,4069,10586,7680.75,4.875,1,4069,100253,5308430,STEHEKIN SCHOOL DISTRICT,10586,7680.75
2016,4069,13114.88,7911.25,4.875,1,4069,100253,5308430,STEHEKIN SCHOOL DISTRICT,12950.747338160772,7812.240743264475
2017,4069,18474.833,12881.333,10,1.125,4069,100253,5308430,STEHEKIN SCHOOL DISTRICT,17862.883033105078,12454.658977944568
2018,4069,44978,40418,30.549999,1.125,4069,100253,5308430,STEHEKIN SCHOOL DISTRICT,42452.75164426851,38148.768641514616
2019,4069,55368,37891.5,31.1,2,4069,100253,5308430,STEHEKIN SCHOOL DISTRICT,51328.692723947315,35127.17021292894
2021,4069,49832,43928,1,1,4069,100253,5308430,STEHEKIN SCHOOL DISTRICT,43584.611919803945,38420.790504357596
2022,4069,32545,23359.5,1,1,4069,100253,5308430,STEHEKIN SCHOOL DISTRICT,26358.597564813157,18919.147636050173
2023,4069,68565,49922,3,,4069,100253,5308430,STEHEKIN SCHOOL DISTRICT,53330.70231914356,38829.947074692405
2024,4069,94697.5,73142,11,,4069,100253,5308430,STEHEKIN SCHOOL DISTRICT,71544.80199584102,55259.430371232644
2025,4069,103750,97344,18,,4069,100253,5308430,STEHEKIN SCHOOL DISTRICT,76372.17592580827,71656.60812840368
2015,4127,34753.06,22248.53,6.324242,25.546,4127,100079,5302550,ENTIAT SCHOOL DISTRICT,34753.06,22248.53
2016,4127,39401.97,25864.15,7.298333,26,4127,100079,5302550,ENTIAT SCHOOL DISTRICT,38908.85452980055,25540.46028376096
2017,4127,39457.167,24869.9,7.16,24.089,4127,100079,5302550,ENTIAT SCHOOL DISTRICT,38150.21001481819,24046.12343424268
2018,4127,43753.433,28794.25,8.3133333,26.256,4127,100079,5302550,ENTIAT SCHOOL DISTRICT,41296.93682985331,27177.623372159243
2019,4127,45740.78,30091.407,7.0542373,23.95,4127,100079,5302550,ENTIAT SCHOOL DISTRICT,42403.815228537685,27896.12381762457
2021,4127,59678.962,37215.115,8.6942307,24.95,4127,100079,5302550,ENTIAT SCHOOL DISTRICT,52197.070126559775,32549.49319364815
2022,4127,61931.825,40683.702,8.7350877,28.933,4127,100079,5302550,ENTIAT SCHOOL DISTRICT,50159.35018065554,32950.23286110875
2023,4127,91498.03448275862,83125.6551724138,15.910344715776114,,4127,100079,5302550,ENTIAT SCHOOL DISTRICT,71168.29927494687,64656.15942658464
2024,4127,93839.6129032258,85237.54838709677,15.451612823432491,,4127,100079,5302550,ENTIAT SCHOOL DISTRICT,70896.66067771227,64397.724564700824
2025,4127,94736.51515151515,87416.24242424243,14.239393939393938,,4127,100079,5302550,ENTIAT SCHOOL DISTRICT,69737.19326987486,64348.61344768528
2015,4129,44015.34,27111.4,7.394059,95.107,4129,100125,5301200,LAKE CHELAN SCHOOL DISTRICT,44015.340000000004,27111.4
2016,4129,44667.67,27016.74,7.130093,99.622,4129,100125,5301200,LAKE CHELAN SCHOOL DISTRICT,44108.65431893725,26678.6256253036
2017,4129,45218.298,27783.193,6.9683486,102.911,4129,100125,5301200,LAKE CHELAN SCHOOL DISTRICT,43720.51255511156,26862.918157105065
2018,4129,47281.248,28612.619,6.5885321,105.704,4129,100125,5301200,LAKE CHELAN SCHOOL DISTRICT,44626.68590811212,27006.189877252844
2019,4129,50707.345,32178.081,6.42287,103.494,4129,100125,5301200,LAKE CHELAN SCHOOL DISTRICT,47008.05032423397,29830.566971812008
2021,4129,57836.905,35740.061,7.677095,89.837,4129,100125,5301200,LAKE CHELAN SCHOOL DISTRICT,50585.94997326153,31259.36524071119
2022,4129,58042.174,36594.624,6.8967136,100.581,4129,100125,5301200,LAKE CHELAN SCHOOL DISTRICT,47009.07378254299,29638.438071951245
2023,4129,91967.14563106796,79793.26213592233,13.326213588992369,,4129,100125,5301200,LAKE CHELAN SCHOOL DISTRICT,71533.179709645,62064.1830386387
2024,4129,95916.12380952381,84408.24761904762,14.159047626597541,,4129,100125,5301200,LAKE CHELAN SCHOOL DISTRICT,72465.48310315429,63771.180471719745
2025,4129,100404.38775510204,87681.94897959183,14.779591836734696,,4129,100125,5301200,LAKE CHELAN SCHOOL DISTRICT,73909.41267812745,64544.204655297675
2015,4222,45118.83,30018.31,8.8,97.295,4222,100035,5300960,CASHMERE SCHOOL DISTRICT,45118.83,30018.310000000005
2016,4222,44173.03,30366.97,8.750251,100.216,4222,100035,5300960,CASHMERE SCHOOL DISTRICT,43620.20473622297,29986.927512528368
2017,4222,46417.882,29858.533,8.4264151,105,4222,100035,5300960,CASHMERE SCHOOL DISTRICT,44880.362210065636,28869.515763368905
2018,4222,48742.7,30597.814,8.3909091,108.185,4222,100035,5300960,CASHMERE SCHOOL DISTRICT,46006.08603252894,28879.927933645824
2019,4222,52166.018,34103.347,8.1462222,107.637,4222,100035,5300960,CASHMERE SCHOOL DISTRICT,48360.307552266735,31615.377456674443
2021,4222,56314.447,37919.558,8.7964602,113.013,4222,100035,5300960,CASHMERE SCHOOL DISTRICT,49254.36101246925,33165.62087816056
2022,4222,60004.179,39943.965,8.8109171,115.034,4222,100035,5300960,CASHMERE SCHOOL DISTRICT,48598.125870886855,32351.11072600958
2023,4222,91007.93548387097,79886.2258064516,17.099193622027673,,4222,100035,5300960,CASHMERE SCHOOL DISTRICT,70787.09423131547,62136.49132770006
2024,4222,94597.18253968254,82554.06349206349,16.31746035323493,,4222,100035,5300960,CASHMERE SCHOOL DISTRICT,71469.01126393006,62370.32790191684
2025,4222,99672.09917355372,87266.17355371901,16.539669421487602,,4222,100035,5300960,CASHMERE SCHOOL DISTRICT,73370.36234194944,64238.145147149364
2015,4228,38620.97,24698.25,6.72,85.032,4228,100034,5300950,CASCADE SCHOOL DISTRICT,38620.97,24698.249999999996
2016,4228,42370.45,26802.68,6.657576,91.294,4228,100034,5300950,CASCADE SCHOOL DISTRICT,41840.18401648921,26467.244585202072
2017,4228,40801.528,27795.492,6.5436548,93.8,4228,100034,5300950,CASCADE SCHOOL DISTRICT,39450.04115793425,26874.80977195344
2018,4228,47499.773,28553.155,6.6216495,92.8,4228,100034,5300950,CASCADE SCHOOL DISTRICT,44832.94202339213,26950.064428727455
2019,4228,48318.119,31844.938,6.59,93.407,4228,100034,5300950,CASCADE SCHOOL DISTRICT,44793.12749512571,29521.7280272929
2021,4228,58789.104,39452.612,7.7540983,95.311,4228,100034,5300950,CASCADE SCHOOL DISTRICT,51418.77273545099,34506.477429013496
2022,4228,54046.493,35360.461,6.5529954,99.3,4228,100034,5300950,CASCADE SCHOOL DISTRICT,43772.922377523166,28638.874211254282
2023,4228,91028.1568627451,82244.1862745098,14.615686257680258,,4228,100034,5300950,CASCADE SCHOOL DISTRICT,70802.82266910761,63970.54205040581
2024,4228,95804.9603960396,87183.83168316832,15.722772258343083,,4228,100034,5300950,CASCADE SCHOOL DISTRICT,72381.49815733303,65868.15887442655
2025,4228,100174.26315789473,89797.81052631579,15.544210526315785,,4228,100034,5300950,CASCADE SCHOOL DISTRICT,73740.01396754652,66101.72706764519
2015,4246,43004.67,27896.53,7.596026,527.82,4246,100290,5309660,WENATCHEE SCHOOL DISTRICT,43004.67,27896.53
2016,4246,45352.62,28378.04,7.383259,537.52,4246,100290,5309660,WENATCHEE SCHOOL DISTRICT,44785.03217289194,28022.888962172732
2017,4246,46036.748,28306.701,7.0929855,553.842,4246,100290,5309660,WENATCHEE SCHOOL DISTRICT,44511.85267810184,27369.08577284994
2018,4246,48464.202,29148.1,6.979322,564.063,4246,100290,5309660,WENATCHEE SCHOOL DISTRICT,45743.22404605943,27511.606790037415
2019,4246,54951.154,37031.789,7.1934244,565.385,4246,100290,5309660,WENATCHEE SCHOOL DISTRICT,50942.25723328111,34330.17841711913
